,operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
8166,sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5632031,-58.4400037",164220,USD,2489969.32,164220,47,0,3494.042553,,,1,,http://belgrano.properati.com.ar/12tfz_venta_departamentos_belgrano_interwin-marketing-inmobiliario_9ic
8167,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Florida|,"-34.536399,-58.49782",449000,USD,6807917.6,449000,,180,,2494.444444,,2,,http://florida.properati.com.ar/z4cj_venta_casa_vicente-lopez_jardin_parrilla_piscina_luminoso_dependencias_garage_aire-acondicionado_re-max-norte
8168,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6554584,-58.6452437",,,,,0,,,,,,,http://castelar-moron.properati.com.ar/x74v_venta_casa_castelar
8169,sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Villa Adelina|,"-34.5117379644,-58.5323882883",115000,USD,1743676,115000,88,65,1306.818182,1769.230769,,,,http://villa-adelina-san-isidro.properati.com.ar/vny4_venta_ph_villa-adelina
8170,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.5866723,-58.546056",1318000,ARS,1314341.87,86684.29,65,59,1333.604462,22338.98305,6,3,,http://caseros.properati.com.ar/ur0s_venta_departamentos_caseros_moreno_5000
8171,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,500000,USD,7581200,500000,400,300,1250,1666.666667,,7,,http://haedo.properati.com.ar/sanb_venta_casa_moron
8172,sell,apartment,|Argentina|Capital Federal|Congreso|,"-34.6204532,-58.4029587",1824000,ARS,1818937.45,119963.69,40,36,2999.09225,50666.66667,12,,,http://congreso.properati.com.ar/w1kt_venta_departamentos_congreso
8173,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Acacias Blancas|,"-34.4071575059,-58.7597751617",230000,USD,3487352,230000,300,300,766.6666667,766.6666667,,5,,http://acacias-blancas.properati.com.ar/vtfz_venta_casa_acacias-blancas
8174,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.439432,-58.6630199",380000,USD,5761712,380000,300,120,1266.666667,3166.666667,,3,,http://nordelta.properati.com.ar/zjla_venta_departamentos_nordelta_suite_gimnasio_hidromasaje_jardin_parrilla_piscina_sum_terraza_garage_amenities_aire-acondicionado_estrenar_arq-victorino-de-la-plaza
8175,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.4872263,-58.4936393",950000,USD,14404280,950000,868,510,1094.470046,1862.745098,,,,http://martinez.properati.com.ar/ri8m_venta_casa_martinez_martinez-ladislao_600
8176,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,"-34.38404,-58.703987",1884237,ARS,1879007.24,123925.45,62,62,1998.797581,30390.91935,,,,http://tigre.properati.com.ar/12vul_venta_departamentos_tigre_baulera_jardin_parrilla_terraza_luminoso_vista_garage_tenis_amenities_placard_syrah-global_di8
8177,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Acassuso|,"-34.4759463,-58.4967571",650000,USD,9855560,650000,327,318,1987.767584,2044.025157,,,,http://acassuso.properati.com.ar/106yq_venta_casa_acassuso_comandante-espora_900_balcon_jardin_parrilla_vestidor_garage_placard_graciela-castex-propiedades-graciela-m-castex-csi-5806
8178,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,"-34.5269047,-58.4721091",560000,USD,8490944,560000,480,350,1166.666667,1600,,,,http://vicente-lopez-bs-as-g-b-a-zona-norte.properati.com.ar/wbg8_venta_casa_vicente-lopez_miguel-de-azcuenaga_800
8179,sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.5989726,-58.4326774",77500,USD,1175086,77500,32,30,2421.875,2583.333333,,1,,http://villa-crespo.properati.com.ar/xs3a_venta_departamentos_villa-crespo_balcon_lavadero_parrilla_piscina_luminoso_amoblado_estrenar
8180,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,"-34.5155326,-58.4772897",430000,USD,6519832,430000,400,473,1075,909.0909091,,,,http://vicente-lopez-bs-as-g-b-a-zona-norte.properati.com.ar/ped1_venta_casa_vicente-lopez_azcuenaga_1900
8181,sell,apartment,|Argentina|Capital Federal|Monte Castro|,"-34.615921,-58.4956825",61500,USD,932487.6,61500,27,25,2277.777778,2460,,1,,http://monte-castro.properati.com.ar/10b9h_venta_departamentos_monte-castro_balcon_migliorisi-propiedades_cy0
8182,sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|City Bell|,"-34.8663883073,-58.0421513508",,,,,252,252,,,,,,http://city-bell.properati.com.ar/u04o_venta_casa_city-bell
8183,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Francisco Alvarez|,"-34.6296725156,-58.851140381",,,,,590,260,,,,,,http://francisco-alvarez.properati.com.ar/xt1a_venta_casa_francisco-alvarez
8184,sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.5907226,-58.4093058",185000,USD,2805044,185000,76,70,2434.210526,2642.857143,,3,1550,http://barrio-norte.properati.com.ar/11932_venta_departamentos_barrio-norte_lavadero_luminoso_dependencias_cortese-propiedades_bj2
8185,sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.587954,-58.386605",149000,USD,2259197.6,149000,,36,,4138.888889,,2,,http://recoleta.properati.com.ar/11wrq_venta_departamentos_recoleta_lujoso_re-max-capital
8186,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,,650000,USD,9855560,650000,2400,200,270.8333333,3250,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/x98d_venta_casa_tigre_0
8187,sell,apartment,|Argentina|Capital Federal|Villa del Parque|,"-34.614082,-58.475662",2200000,ARS,2197883.58,144956.18,65,,2230.095077,,,3,,http://villa-del-parque.properati.com.ar/zlmf_venta_departamentos_villa-del-parque_balcon_vista_kwz-arquitectura-y-desarrollos
8188,sell,PH,|Argentina|Capital Federal|San Telmo|,"-34.621456824,-58.3744829497",249000,USD,3775437.6,249000,250,250,996,996,,,,http://san-telmo.properati.com.ar/edjt_venta_ph_san-telmo
8189,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Merlo|Pontevedra|,"-34.7217221891,-58.7265834709",30000,USD,454872,30000,1000,150,30,200,,,,http://pontevedra.properati.com.ar/wm3z_venta_casa_pontevedra
8190,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,"-34.433301,-58.586118",149000,USD,2259197.6,149000,,96,,1552.083333,107,2,,http://tigre.properati.com.ar/y399_venta_departamentos_tigre_balcon_suite_gimnasio_lavadero_piscina_terraza_garage_placard_re-max-data-house
8191,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Hurlingham|,"-34.5893459,-58.6462918",,,,,200,156,,,,,,http://hurlingham-bs-as-g-b-a-zona-oeste.properati.com.ar/eh5w_venta_casa_hurlingham
8192,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6558347,-58.6201533",56300,USD,853643.12,56300,37,37,1521.621622,1521.621622,,,,http://moron-bs-as-g-b-a-zona-oeste.properati.com.ar/yivn_venta_departamentos_moron_luminoso_lujoso_veronica-espinosa-negocios-inmobiliarios
